entity_id,state,last_changed
sensor.stormbreaker_adaptivecharge_current_setting_a,,2026-02-27T08:30:00.000Z
sensor.stormbreaker_adaptivecharge_current_setting_a,unknown,2026-02-27T08:32:14.942Z
sensor.stormbreaker_adaptivecharge_current_setting_a,2,2026-02-27T08:32:43.078Z
sensor.stormbreaker_adaptivecharge_current_setting_a,3,2026-02-27T08:33:12.952Z
sensor.stormbreaker_adaptivecharge_current_setting_a,4,2026-02-27T08:34:13.105Z
sensor.stormbreaker_adaptivecharge_current_setting_a,5,2026-02-27T08:44:45.556Z
sensor.stormbreaker_adaptivecharge_current_setting_a,4,2026-02-27T08:45:03.534Z
sensor.stormbreaker_adaptivecharge_current_setting_a,3,2026-02-27T08:45:13.525Z
sensor.stormbreaker_adaptivecharge_current_setting_a,2,2026-02-27T08:45:23.524Z
sensor.stormbreaker_adaptivecharge_current_setting_a,unknown,2026-02-27T08:45:33.393Z
sensor.stormbreaker_adaptivecharge_current_setting_a,unavailable,2026-02-27T08:54:33.807Z
sensor.stormbreaker_adaptivecharge_current_setting_a,unknown,2026-02-27T08:54:33.822Z
sensor.stormbreaker_adaptivecharge_current_setting_a,16,2026-02-27T09:04:43.876Z
sensor.stormbreaker_adaptivecharge_current_setting_a,unknown,2026-02-27T09:05:13.881Z
sensor.stormbreaker_adaptivecharge_target_current_a,,2026-02-27T08:30:00.000Z
sensor.stormbreaker_adaptivecharge_target_current_a,0.0,2026-02-27T08:32:14.942Z
sensor.stormbreaker_adaptivecharge_target_current_a,3.24,2026-02-27T08:32:22.271Z
sensor.stormbreaker_adaptivecharge_target_current_a,3.25,2026-02-27T08:32:43.078Z
sensor.stormbreaker_adaptivecharge_target_current_a,3.3,2026-02-27T08:32:52.937Z
sensor.stormbreaker_adaptivecharge_target_current_a,3.97,2026-02-27T08:33:02.937Z
sensor.stormbreaker_adaptivecharge_target_current_a,4.15,2026-02-27T08:33:12.952Z
sensor.stormbreaker_adaptivecharge_target_current_a,3.25,2026-02-27T08:33:22.955Z
sensor.stormbreaker_adaptivecharge_target_current_a,3.26,2026-02-27T08:33:42.956Z
